id,name
A0101,行政区划
A0102,人均主要工农业产品产量
A010301,三次产业法人单位数
A010302,分机构类型法人单位数
A010303,分行业法人单位数
A010401,按控股情况分企业法人单位数
A010402,按登记注册类型分企业法人单位数(-2022)
A010403,按登记注册统计类别分企业法人单位数(2024-)
A010501,民族自治地方行政区划
A010502,民族自治地方人口
A010503,民族自治地方国内生产总值
A010504,民族自治地方固定资产投资
A010505,民族自治地方财政
A010506,民族自治地方农业
A010507,民族自治地方工业
A010508,民族自治地方建筑业
A010509,民族自治地方邮电运输
A01050A,民族自治地方国内贸易
A01050B,民族自治地方对外经济
A01050C,民族自治地方国际旅游
A01050D,民族自治地方金融
A01050E,民族自治地方教育
A01050F,民族自治地方出版数量
A01050G,民族自治地方卫生
A01050H,民族自治地方社会服务
A0201,国内生产总值
A020201,国内生产总值指数(上年=100)
A020202,国内生产总值指数(1978年=100)
A0203,三次产业构成
A0204,分行业增加值
A020501,分行业增加值指数(上年=100)
A020502,分行业增加值指数(1978年=100)
A0206,分行业增加值构成
A0207,三次产业贡献率
A0208,三次产业对国内生产总值增长的拉动
A0209,支出法国内生产总值
A020A,三大需求对国内生产总值增长的贡献率和拉动
A020B,居民消费水平
A020F0101,资金运用
A020F0102,资金来源
A020F0201,资金运用
A020F0202,资金来源
A020F0301,资金运用
A020F0302,资金来源
A020F0401,资金运用
A020F0402,资金来源
A020F0501,资金运用
A020F0502,资金来源
A020F0601,资金运用
A020F0602,资金来源
A020F0701,资金运用
A020F0702,资金来源
A020G0101,资金运用
A020G0102,资金来源
A020G0201,资金运用
A020G0202,资金来源
A020G0301,资金运用
A020G0302,资金来源
A020G0401,资金运用
A020G0402,资金来源
A020G0501,资金运用
A020G0502,资金来源
A020G0601,资金运用
A020G0602,资金来源
A020G0701,资金运用
A020G0702,资金来源
A020H0101,经常项目差额(贷-借)
A020H0102,资本和金融项目差额(贷-借)
A020H0103,储备资产差额(贷-借)
A020H0104,净误差与遗漏差额(贷-借)
A020H0201,贷方经常项目
A020H0202,贷方资本和金融项目
A020H0203,贷方储备资产
A020H0204,贷方净误差与遗漏
A020H0301,借方经常项目
A020H0302,借方资本和金融项目
A020H0303,借方储备资产
A020H0304,借方净误差与遗漏
A0301,总人口
A0302,人口出生率、死亡率和自然增长率
A0303,人口年龄结构和抚养比
A0304,人口平均预期寿命
A0305,人口普查人口基本情况
A030601,按年龄分人口数(人口抽样调查)
A030602,按年龄分男性人口数(人口抽样调查)
A030603,按年龄分女性人口数(人口抽样调查)
A030604,按年龄分性别比(人口抽样调查)
A030605,户数、户人口及户规模(人口抽样调查)
A030606,按户口登记状况分人口数(人口抽样调查)
A030607,人口年龄构成和抚养比(人口抽样调查)
A030608,按婚姻状况分人口数(人口抽样调查)
A030609,按受教育程度分人口数(人口抽样调查)
A03060A,15岁及以上文盲人口(人口抽样调查)
A03060B,按家庭户规模分的户数(人口抽样调查)
A03060C,按年龄分平均育龄妇女人数(人口抽样调查)
A03060D,按年龄分出生人数(人口抽样调查)
A03060E,按年龄分第一孩次出生人口数(人口抽样调查)
A03060F,按年龄分第二孩次出生人口数(人口抽样调查)
A03060G,按年龄分第三孩次及以上出生人口数(人口抽样调查)
A03060H,按年龄分生育率(人口抽样调查)
A03060I,按年龄分第一孩次生育率(人口抽样调查)
A03060J,按年龄分第二孩次生育率(人口抽样调查)
A03060K,按年龄分第三孩次生育率(人口抽样调查)
A0401,劳动力
A0402,按三次产业分就业人员数
A0403,按城乡分就业人员数
A0404,按经济类型分城镇就业人员
A0405,按经济类型分乡村就业人员
A0406,按行业分城镇非私营单位就业人员
A040P,按行业分内资单位就业人员
A0407,按行业分国有单位就业人员
A040Q,按行业分港澳台投资单位就业人员
A040R,按行业分外商投资单位就业人员
A0408,按行业分城镇集体单位就业人员
A0409,按行业分其他单位就业人员
A040A,按行业分私营企业和个体就业人员
A040B,按行业分城镇私营企业和个体就业人员
A040C,私营企业就业人员
A040D,个体就业人员
A040E,城镇非私营单位就业人员工资总额和指数
A040F,城镇非私营单位就业人员平均工资和指数
A040G,按登记注册统计类别分城镇非私营单位就业人员平均工资
A040H,按行业分城镇非私营单位就业人员工资总额
A040I,按行业分城镇非私营单位就业人员平均工资
A040S,按行业分内资单位就业人员平均工资
A040J,按行业分国有单位就业人员平均工资
A040T,按行业分港澳台投资单位就业人员平均工资
A040U,按行业分外商投资单位就业人员平均工资
A040K,按行业分城镇集体单位就业人员平均工资
A040L,按行业分其他单位就业人员平均工资
A040M,按行业分城镇私营单位就业人员平均工资
A040N,城镇登记失业人员及失业率
A0501,全社会固定资产投资
A0502,全社会固定资产投资实际到位资金增长情况
A0503,民间固定资产（不含农户）投资额及增速
A0504,三次产业固定资产（不含农户）投资额及增速
A0505,按领域分固定资产投资(不含农户)增速（2018-）
A0506,固定资产投资(不含农户)实际到位资金增长情况
A0507,按构成和建设性质分固定资产投资(不含农户)增长情况
A050A,按控股情况分固定资产投资(不含农户)增长情况
A050B,按行业分固定资产投资(不含农户)增长情况（2018-）
A050C,按行业分建筑安装工程固定资产投资(不含农户)增长情况（2018-）
A050D,按行业分设备工器具购置固定资产投资(不含农户)增长情况（2018-）
A050E,按行业分其他费用固定资产投资(不含农户)增长情况（2018-）
A050F,按行业分新建固定资产投资(不含农户)增长情况（2018-）
